Gasage (yr BP) ,CO2 (ppmv)
11453.06,268.87
11435.93,270.14
11417.45,264.48
11399.86,268.16
11383.16,264.84
11339.37,264.81
11316.98,264.10
11256.57,264.40
11200.58,265.30
11185.87,265.00
11161.06,264.80
11089.62,264.80
10954.48,267.60
10835.74,265.10
10801.81,266.00
10680.48,266.90
10505.55,267.50
10366.56,264.90
10299.55,265.70
10192.95,263.40
10134.50,264.00
9992.61,264.20
9901.04,264.40
9573.27,263.80
9555.86,263.00
9524.44,260.90
9518.06,260.60
9436.70,265.20
9361.12,263.80
9295.31,263.70
9143.01,262.00
9060.17,259.30
8992.99,260.40
8911.85,260.90
8781.28,259.00
8710.68,261.80
8546.58,260.70
8459.68,261.30
8351.88,258.30
8194.80,259.30
8116.28,259.60
7975.85,260.80
7926.37,259.20
7860.18,259.70
7719.59,260.40
7661.37,260.10
7497.87,258.40
7405.32,260.70
7274.01,263.00
7188.07,262.30
7038.27,257.60
6970.08,258.10
6880.31,262.90
6769.65,262.10
6682.55,259.40
6572.29,261.10
6401.24,261.20
6337.21,262.70
6301.96,263.20
6089.81,265.50
5999.38,266.70
5934.09,260.70
5852.26,265.50
5757.61,265.90
5581.30,267.60
5533.29,265.20
5357.55,265.30
5311.18,267.60
5218.57,269.80
5086.79,268.60
4981.58,269.30
4921.20,270.70
4773.00,271.50
4647.46,269.80
4592.82,269.10
4494.36,271.10
4342.82,271.50
4275.08,272.80
4205.84,271.60
4108.67,271.70
3968.95,274.90
3856.17,275.40
3806.86,271.50
3693.41,273.00
3644.46,273.40
3528.29,275.00
3431.12,274.00
3283.66,273.10
3255.73,276.30
3056.60,274.60
2948.82,276.30
2904.55,274.70
2801.76,275.30
2708.48,278.90
2628.02,273.90
2526.12,277.90
2414.32,277.60
2265.55,276.70
2234.24,276.70
2093.36,276.90
1999.71,278.00
1949.00,276.70
1920.00,277.90
1894.00,277.40
1846.00,277.50
1814.00,278.10
1796.47,278.07
1775.47,277.56
1709.40,280.25
1683.90,278.31
1675.56,280.24
1654.40,280.91
1632.45,281.69
1592.67,277.80
1565.77,277.25
1543.64,279.13
1513.06,280.00
1461.87,277.11
1432.04,276.79
1398.38,276.56
1392.53,278.46
1367.59,276.20
1335.48,277.87
1313.00,279.59
1280.82,278.45
1248.75,277.10
1219.57,279.99
1187.70,279.29
1156.90,279.72
1127.67,278.62
1074.59,279.42
1035.87,280.11
992.35,277.41
967.35,278.74
932.42,279.80
930.73,280.06
909.92,280.92
900.82,280.97
879.80,282.84
850.59,283.09
834.39,282.84
803.71,284.51
784.02,283.97
750.19,284.54
739.05,283.69
698.73,282.41
690.49,282.20
671.80,278.43
642.55,281.58
619.88,284.07
601.15,278.36
559.67,280.91
539.14,279.70
521.20,279.73
500.84,282.23
480.60,280.31
448.47,283.12
420.32,283.95
400.35,283.53
390.14,281.83
376.99,282.57
361.82,281.11
359.01,279.36
346.58,275.07
340.54,271.11
321.40,273.78
310.19,276.69
300.90,278.02
268.11,276.66
260.26,276.32
255.93,277.36
227.14,278.27
226.99,277.01
216.13,278.31
208.74,276.81
200.88,277.60
198.07,276.46
197.87,278.00
187.12,277.16
186.30,276.40
176.54,277.86
170.51,280.24
169.70,273.07
155.90,281.62
154.06,282.30
153.53,280.40
150.66,282.80
136.34,284.43
125.26,281.36
123.08,285.91
117.13,285.09
116.82,283.82
113.30,284.15
109.17,283.65
106.71,281.58
105.54,283.53
105.35,283.18
104.10,283.62
102.68,286.84
99.74,284.00
99.17,288.79
98.89,285.47
96.29,288.05
95.28,285.57
93.38,283.16
91.16,286.63
88.17,287.17
87.02,285.35
85.87,286.65
83.26,285.05
82.27,287.99
81.59,289.54
80.34,287.99
79.96,286.33
77.17,286.66
76.26,291.56
73.09,289.33
70.05,287.77
67.08,292.46
66.21,289.76
65.82,289.23
64.40,288.12
62.61,294.34
60.99,292.34
60.13,290.92
57.61,295.17
57.12,294.86
56.94,295.32
56.34,293.17
56.24,293.81
51.34,295.28
51.06,297.05
49.82,294.22
48.30,295.61
46.09,295.99
44.65,299.02
44.46,297.33
44.23,299.63
41.48,301.50
40.24,297.87
39.28,298.11
38.90,297.73
38.71,299.26
37.48,301.30
35.61,300.70
34.21,301.92
32.13,303.85
31.33,304.61
30.29,301.88
27.49,303.18
27.16,306.20
25.25,304.72
24.69,304.97
22.20,308.02
21.84,305.67
21.46,305.71
21.26,305.78
20.61,305.38
19.17,305.74
17.71,308.26
17.46,308.28
17.22,305.94
16.41,307.08
16.12,309.63
14.94,306.32
14.29,307.26
14.13,309.34
13.14,307.41
12.23,312.33
12.13,311.52
11.87,311.94
11.84,308.48
11.03,310.46
10.78,311.21
10.41,310.95
10.03,309.80
9.25,307.74
9.16,311.80
8.22,312.39
7.96,312.84
7.79,311.88
6.43,312.36
5.49,310.22
5.24,311.28
5.04,310.44
4.61,311.81
4.44,311.97
4.38,312.56
3.37,312.87
3.34,310.36
2.29,311.57
1.23,309.69
0.33,313.66
-0.25,312.00
-2.38,312.18
-3.56,312.22
-3.71,312.80
-3.79,313.17
-4.80,314.71
-6.16,315.34
-7.10,314.44
-7.20,316.33
-7.26,315.27
-7.87,314.57
-8.10,316.10
-8.56,316.33
-9.09,311.98
-10.31,313.09
-10.57,318.21
-11.72,316.59
-12.32,317.52
-12.40,319.14
-12.54,317.45
-12.62,318.61
-13.20,319.07
-13.56,319.12
-15.23,319.89
-15.30,319.20
-15.87,320.98
-16.55,322.17
-16.79,320.49
-18.54,320.38
-18.81,324.09
-18.98,325.08
-19.42,324.71
-20.22,324.56
-20.64,324.91
-20.66,326.65
-20.87,326.31
-22.04,330.35
-22.09,328.42
-24.13,331.55
-25.57,332.37
-26.67,332.37
-26.80,335.55
-29.14,334.85
-33.03,339.46
-33.08,341.33
-34.92,342.05
-35.76,343.11
-36.14,343.97
-36.62,344.72
-37.21,345.44
-38.07,347.60
-38.97,349.28
-39.41,349.80
-39.97,350.81
-41.13,352.42
-42.31,353.72
-43.08,353.95
-44.41,357.11
-46.28,359.65
-48.00,361.78
-51.03,368.02
-52,373.22
-53,375.77
-54,377.49
-55,379.8
-56,381.9
-57,383.76
-58,385.59
-59,387.37
-60,389.85
-61,391.63
-62,393.82
-63,396.48
-64,398.61
-65,400.83
-66,404.41
-67,406.76
-68,408.72
-69,411.65
-70,414.21
-71,416.41
-72,418.53
