Age,temp,Anomoly
-72.0,223.25,5.860000000000014
-70.0,222.85,5.460000000000008
-69.0,222.95,5.560000000000002
-68.0,222.05,4.660000000000025
-67.0,221.85,4.460000000000008
-64.0,222.25,4.860000000000014
-63.0,222.25,4.860000000000014
-62.0,221.35,3.960000000000008
-61.0,222.95,5.560000000000002
-60.0,220.55,3.160000000000025
-54.0,222.75,5.360000000000014
-53.0,221.25,3.8600000000000136
-51.0,222.25,4.860000000000014
-50.0,218.3,0.910000000000025
-43.55977,218.3,0.910000000000025
-37.44019,218.3,0.910000000000025
-31.64156,218.3,0.910000000000025
-24.55278,218.3,0.910000000000025
-17.78422,218.3,0.910000000000025
-11.01305,218.3,0.910000000000025
-3.2703,218.3,0.910000000000025
5.447842,218.3,0.910000000000025
13.52999,218.3,0.910000000000025
22.27284,218.3,0.910000000000025
30.70987,218.3,0.910000000000025
38.51757,218.3,0.910000000000025
47.00211,219.2,1.8100000000000023
55.20552,220.4,3.0100000000000193
64.43646,217.7,0.3100000000000023
73.05573,217.0,-0.38999999999998636
81.72349,217.4,0.010000000000019327
90.43857,217.4,0.010000000000019327
99.70485,216.9,-0.4899999999999807
109.8195,218.2,0.8100000000000023
119.2176,216.8,-0.589999999999975
129.3916,216.3,-1.089999999999975
139.9534,217.8,0.410000000000025
150.1377,217.0,-0.38999999999998636
160.6797,218.4,1.0100000000000193
171.2088,217.7,0.3100000000000023
181.7194,216.7,-0.6899999999999977
191.8325,216.2,-1.1899999999999977
202.293,217.9,0.5100000000000193
212.5394,215.0,-2.3899999999999864
223.471,217.8,0.410000000000025
233.9967,218.2,0.8100000000000023
244.8395,218.1,0.710000000000008
255.6953,217.4,0.010000000000019327
266.864,217.3,-0.08999999999997499
277.9812,216.0,-1.3899999999999864
289.4143,217.1,-0.28999999999999204
301.1585,217.6,0.21000000000000796
312.545,216.2,-1.1899999999999977
323.9099,217.0,-0.38999999999998636
335.5896,216.8,-0.589999999999975
346.8579,217.4,0.010000000000019327
358.6178,216.7,-0.6899999999999977
370.9679,216.5,-0.8899999999999864
382.9111,215.9,-1.4899999999999807
395.2021,216.9,-0.4899999999999807
407.2843,217.3,-0.08999999999997499
418.6733,217.6,0.21000000000000796
430.4257,215.7,-1.6899999999999977
442.5554,217.6,0.21000000000000796
454.3007,217.5,0.11000000000001364
466.2551,216.8,-0.589999999999975
478.2794,216.6,-0.789999999999992
490.3924,217.8,0.410000000000025
503.0865,215.0,-2.3899999999999864
516.0368,216.5,-0.8899999999999864
529.475,217.0,-0.38999999999998636
542.6268,218.7,1.3100000000000023
555.8396,218.1,0.710000000000008
568.3494,216.6,-0.789999999999992
580.9313,218.8,1.410000000000025
593.5725,216.5,-0.8899999999999864
606.2219,216.6,-0.789999999999992
619.1082,218.9,1.5100000000000193
631.65,218.4,1.0100000000000193
644.5452,217.7,0.3100000000000023
657.9103,216.4,-0.9899999999999807
672.1189,216.8,-0.589999999999975
686.6481,216.8,-0.589999999999975
700.6882,216.9,-0.4899999999999807
715.2436,216.4,-0.9899999999999807
729.5808,216.0,-1.3899999999999864
744.6373,216.5,-0.8899999999999864
759.2383,217.3,-0.08999999999997499
772.3893,217.2,-0.18999999999999773
785.8553,217.7,0.3100000000000023
798.9567,217.4,0.010000000000019327
812.1401,218.0,0.6100000000000136
824.3588,218.3,0.910000000000025
836.5675,218.6,1.210000000000008
848.7663,218.9,1.5100000000000193
861.5453,216.4,-0.9899999999999807
875.4421,218.0,0.6100000000000136
889.3285,216.0,-1.3899999999999864
903.5693,218.3,0.910000000000025
917.8998,216.4,-0.9899999999999807
932.2836,216.7,-0.6899999999999977
947.0249,216.9,-0.4899999999999807
960.9822,216.7,-0.6899999999999977
975.4282,217.8,0.410000000000025
989.8635,217.0,-0.38999999999998636
1004.288,217.0,-0.38999999999998636
1018.508,216.5,-0.8899999999999864
1032.268,217.6,0.21000000000000796
1046.723,218.4,1.0100000000000193
1060.862,217.8,0.410000000000025
1075.176,216.7,-0.6899999999999977
1089.481,216.6,-0.789999999999992
1104.135,218.1,0.710000000000008
1118.228,216.9,-0.4899999999999807
1132.48,219.0,1.6100000000000136
1146.385,216.5,-0.8899999999999864
1160.21,217.1,-0.28999999999999204
1173.811,218.3,0.910000000000025
1187.738,218.4,1.0100000000000193
1201.327,218.3,0.910000000000025
1215.092,216.9,-0.4899999999999807
1229.273,218.0,0.6100000000000136
1243.449,217.8,0.410000000000025
1258.053,217.7,0.3100000000000023
1272.603,217.3,-0.08999999999997499
1287.152,217.1,-0.28999999999999204
1302.045,218.6,1.210000000000008
1315.817,217.6,0.21000000000000796
1330.151,218.3,0.910000000000025
1344.162,217.3,-0.08999999999997499
1357.836,219.0,1.6100000000000136
1371.821,218.3,0.910000000000025
1385.811,217.3,-0.08999999999997499
1399.806,217.4,0.010000000000019327
1415.617,216.9,-0.4899999999999807
1431.53,216.7,-0.6899999999999977
1447.451,217.0,-0.38999999999998636
1462.64,218.5,1.1100000000000136
1478.122,216.5,-0.8899999999999864
1493.617,217.1,-0.28999999999999204
1509.198,216.9,-0.4899999999999807
1524.834,217.2,-0.18999999999999773
1540.486,218.3,0.910000000000025
1556.402,216.5,-0.8899999999999864
1571.892,217.5,0.11000000000001364
1587.755,217.7,0.3100000000000023
1603.929,216.3,-1.089999999999975
1620.539,216.6,-0.789999999999992
1637.175,218.2,0.8100000000000023
1653.893,216.2,-1.1899999999999977
1669.896,217.8,0.410000000000025
1685.574,217.8,0.410000000000025
1701.843,216.6,-0.789999999999992
1719.291,216.9,-0.4899999999999807
