Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-395.2,-0.10
-396,-0.24
-400.4,-0.97
-391.1,0.57
-399.2,-0.77
-386.2,1.38
-398.9,-0.72
-389,0.91
-388.4,1.01
-400.4,-0.98
-392.7,0.29
-391,0.57
-392.5,0.32
-397.7,-0.54
-399.8,-0.89
-398.7,-0.71
-403.7,-1.54
-397.4,-0.50
-391.7,0.45
-394.5,-0.02
-396.8,-0.40
-399.2,-0.80
-394,0.06
-391.4,0.49
-403.5,-1.52
-389.5,0.80
-399.9,-0.93
-397.4,-0.51
-398.6,-0.71
-394.1,0.03
-398.4,-0.68
-401.7,-1.23
-392.6,0.27
-395.4,-0.19
-402.1,-1.30
-403.6,-1.55
-396.5,-0.38
-402.5,-1.37
-398.8,-0.76
-397,-0.47
-389.4,0.79
-395,-0.14
-404.9,-1.78
-402.2,-1.34
-389.2,0.81
-397,-0.48
-401.8,-1.27
-398.4,-0.71
-407.8,-2.27
-395.4,-0.22
-403.1,-1.50
-406.1,-2.00
-390.4,0.60
-392.6,0.23
-395.7,-0.28
-402.9,-1.47
-401.9,-1.31
-401.2,-1.20
-400.4,-1.07
-397.5,-0.59
-389.4,0.75
-395.4,-0.25
-387.9,0.99
-398.3,-0.73
-398.7,-0.80
-401.3,-1.23
-396.8,-0.49
-395.6,-0.29
-402.5,-1.44
-399.5,-0.94
-397.8,-0.66
-400.5,-1.11
-400.8,-1.16
-396.1,-0.39
-405.3,-1.91
-411.9,-3.00
-401.7,-1.32
-399.3,-0.93
-404.7,-1.82
-403.1,-1.56
-402.3,-1.43
-396.1,-0.40
-388.3,0.88
-398.5,-0.81
-406.3,-2.10
-399.9,-1.04
-404.7,-1.84
-403.8,-1.69
-395,-0.24
-402.8,-1.53
-404.2,-1.77
-399.1,-0.93
-393.3,0.03
-399.1,-0.93
-389.2,0.70
-397.7,-0.71
-388.4,0.83
-400.3,-1.14
-403.7,-1.71
-398.3,-0.82
-396.1,-0.46
-390.7,0.43
-404.7,-1.88
