GasAge,CH4mean
-33,1617.89
-32,1600.69
-30,1566.28
-29,1549.53
-28,1532.77
-25,1483.57
-20,1403.19
-15,1328.47
-10,1262.97
-5,1207.03
0,1161.73
5,1128.83
10,1102.4
13,907.0
126,784.0
130,762.0
151,710.0
184,727.0
202,696.0
207,683.0
258,679.0
297,676.0
345,651.0
382,684.0
403,681.0
459,670.0
478,644.0
533,670.0
539,668.0
554,680.0
668,667.0
678,669.0
736,680.0
742,643.0
861,664.0
869,647.0
897,648.0
939,640.0
946,636.0
1037,635.0
1092,633.0
1132,644.0
1217,643.0
1225,629.0
1248,635.0
1338,635.0
1349,650.0
1431,631.0
1443,638.0
1527,632.0
1551,630.0
1620,610.0
1629,623.0
1677,623.0
1717,615.0
1726,623.0
1774,618.0
1793,613.0
1907,613.0
1951,605.0
1995,599.0
2045,604.0
2104,591.0
2115,594.0
2119,609.0
2208,602.0
2275,597.0
2309,595.0
2321,594.0
2325,597.0
2389,593.0
2414,604.0
2424,592.0
2482,579.0
2515,603.0
2519,590.0
2602,592.0
2624,586.0
2717,590.0
2720,580.0
2724,588.0
2735,583.0
2793,580.0
2800,578.0
2857,577.0
2877,577.0
2998,581.0
3026,573.0
3107,576.0
3139,589.0
3210,568.0
3308,581.0
3360,589.0
3433,573.0
3506,570.0
3517,560.0
3572,575.0
3602,596.0
3614,578.0
3690,578.0
3697,581.0
3773,576.0
3892,574.0
3905,578.0
3965,575.0
3986,549.0
3994,568.0
4079,576.0
4082,563.0
4142,570.0
4173,582.0
4305,577.0
4309,568.0
4325,579.0
4357,584.0
4366,570.0
4440,570.0
4461,568.0
4471,582.0
4474,562.0
4496,580.0
4551,560.0
4589,580.0
4625,560.0
4683,563.0
4701,560.0
4740,570.0
4755,563.0
4823,579.0
4849,570.0
4864,573.0
4868,568.0
5002,561.0
5068,563.0
5112,551.0
5149,553.0
5156,558.0
5221,574.0
5270,561.0
5272,564.0
5337,577.0
5364,565.0
5418,570.0
5458,566.0
5474,580.0
5526,581.0
5550,563.0
5557,568.0
5598,591.0
5643,571.0
5651,578.0
5653,570.0
5657,581.0
5684,584.0
5712,586.0
5834,575.0
5870,570.0
5915,584.0
5989,564.0
5993,602.0
6022,592.0
6029,597.0
6033,581.0
6058,597.0
6116,590.0
6252,590.0
6257,577.0
6264,583.0
6304,592.0
6341,577.0
6346,580.0
6350,581.0
6385,587.0
6404,588.0
6453,617.0
6503,602.0
6542,602.0
6598,599.0
6607,601.0
6610,595.0
6637,607.0
6691,604.0
6708,636.0
6709,603.0
6738,608.0
6817,605.0
6901,633.0
6924,607.0
6961,614.0
7016,631.0
7020,610.0
7105,612.0
7106,607.0
7127,623.0
7209,618.0
7253,618.0
7289,602.0
7310,623.0
7405,612.0
7408,602.0
7430,617.0
7496,625.0
7498,610.0
7523,617.0
7544,617.0
7573,623.0
7616,620.0
7660,619.0
7670,623.0
7688,620.0
7704,623.0
7723,618.0
7762,620.0
7769,611.0
7778,612.0
7823,614.0
7841,620.0
7857,598.0
7871,600.0
7874,612.0
7892,589.0
7913,613.0
7957,624.0
7985,660.0
8012,632.0
8039,606.0
8053,626.0
8066,633.0
8068,624.0
8089,651.0
8108,640.0
8155,642.0
8171,641.0
8202,660.0
8269,647.0
8273,649.0
8331,665.0
8371,648.0
8378,660.0
8435,654.0
8452,654.0
8523,662.0
8549,657.0
8644,671.0
8648,659.0
8708,675.0
8764,676.0
8771,658.0
8832,674.0
8842,657.0
8906,648.0
8961,671.0
9020,664.0
9081,671.0
9085,665.0
9134,664.0
9135,665.0
9149,666.0
9207,663.0
9281,675.0
9305,671.0
9312,674.0
9391,676.0
9460,675.0
9510,682.0
9533,685.0
9587,689.0
9592,683.0
9640,693.0
9700,676.0
9719,674.0
9794,670.0
9801,682.0
9835,675.0
9882,685.0
9962,678.0
10036,717.0
10098,698.0
10192,694.0
10204,678.0
10253,682.0
10274,688.0
10394,672.0
10409,661.0
10478,669.0
10518,652.0
10604,671.0
10612,666.0
10659,685.0
10707,681.0
10812,694.0
10818,673.0
10872,679.0
10925,703.0
11066,650.0
11078,633.0
11124,653.0
11130,654.0
11216,665.0
11325,643.0
11333,559.0
11410,469.0
11610,488.0
11625,468.0
11717,477.0
11798,462.0
11808,483.0
11921,462.0
12033,480.0
12039,467.0
12094,479.0
12338,542.0
12477,651.0
12485,627.0
12605,643.0
12736,610.0
12747,646.0
12884,661.0
12910,662.0
13070,670.0
13079,653.0
13255,646.0
13356,628.0
13418,625.0
13428,619.0
13497,613.0
13625,619.0
13637,623.0
13646,630.0
13771,612.0
13942,578.0
13951,597.0
14010,569.0
14289,465.0
14312,476.0
14535,461.0
14547,470.0
14555,469.0
14711,459.0
14870,470.0
14966,476.0
15203,463.0
15217,451.0
15393,452.0
15545,441.0
15555,456.0
15844,441.0
15865,438.0
15870,473.0
16060,419.0
16213,424.0
16243,427.0
16430,405.0
16604,409.0
16617,404.0
16826,408.0
16833,381.0
17046,395.0
17075,389.0
17316,371.0
17506,375.0
17531,366.0
17543,384.0
17789,366.0
17909,377.0
17923,371.0
18256,375.0
18490,371.0
18508,378.0
18519,371.0
18873,373.0
18890,379.0
19317,366.0
19451,358.0
19479,377.0
19680,356.0
19693,351.0
19963,374.0
20124,375.0
20466,384.0
20469,367.0
20708,378.0
20954,365.0
21218,354.0
21470,357.0
21786,357.0
21986,355.0
22718,407.0
22895,385.0
23130,390.0
23279,390.0
23472,390.0
23747,386.0
23888,398.0
24084,375.0
24299,360.0
24516,373.0
24721,389.0
24927,372.0
25329,370.0
25599,365.0
25824,355.0
25990,364.0
26631,396.0
26918,387.0
27074,386.0
27336,396.0
27504,406.0
27680,426.0
27896,382.0
28136,399.0
28286,402.0
28502,414.0
28764,444.0
29091,388.0
29319,368.0
29701,391.0
29980,399.0
30148,392.0
30618,410.0
30761,408.0
30974,392.0
31198,404.0
31404,412.0
31756,427.0
31793,422.0
31895,441.0
32069,457.0
32163,471.0
32254,431.0
32370,452.0
32415,409.0
32588,410.0
32645,405.0
32768,404.0
32814,415.0
32904,432.0
33026,424.0
33060,428.0
33148,440.0
33202,443.0
33248,444.0
33480,461.0
33688,479.0
33735,426.0
33810,415.0
33857,419.0
34046,420.0
34079,430.0
34185,430.0
34337,428.0
34531,447.0
34578,457.0
34668,489.0
34901,519.0
34904,520.0
34946,513.0
35061,514.0
35181,498.0
35238,492.0
35330,427.0
35489,421.0
35650,444.0
35764,426.0
35841,425.0
35893,441.0
36000,440.0
36104,441.0
36308,471.0
36374,469.0
36522,494.0
36613,524.0
36937,534.0
36988,534.0
37127,587.0
37188,536.0
37200,548.0
37298,572.0
37367,563.0
37406,580.0
37515,560.0
37524,557.0
37559,544.0
37675,547.0
37751,539.0
37849,540.0
