 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 5.2356770799999595 , 311.2775834649954 , Law  Dome  (Rubino  et  al.,  2013) 
 5.490957340000023 , 310.224309572614 , Law  Dome  (Rubino  et  al.,  2013) 
 6.426352059999999 , 312.36164019507424 , Law  Dome  (Rubino  et  al.,  2013) 
 7.792658919999894 , 311.878053578341 , Law  Dome  (Rubino  et  al.,  2013) 
 7.964587149999943 , 312.8437329659678 , Law  Dome  (Rubino  et  al.,  2013) 
 8.22030175000009 , 312.393938618938 , Law  Dome  (Rubino  et  al.,  2013) 
 9.160584629999903 , 311.80226771747726 , Law  Dome  (Rubino  et  al.,  2013) 
 9.245991239999967 , 307.7386635857962 , Law  Dome  (Rubino  et  al.,  2013) 
 10.030999999999949 , 309.80091502114107 , Law  Dome  (Rubino  et  al.,  2013) 
 10.408172680000007 , 310.9510867188181 , Law  Dome  (Rubino  et  al.,  2013) 
 10.77751491999993 , 311.21179432912515 , Law  Dome  (Rubino  et  al.,  2013) 
 11.03227736000008 , 310.4566675193962 , Law  Dome  (Rubino  et  al.,  2013) 
 11.838400000000092 , 308.47982780846024 , Law  Dome  (Rubino  et  al.,  2013) 
 11.870147509999924 , 311.94102882822733 , Law  Dome  (Rubino  et  al.,  2013) 
 12.132119869999997 , 311.52050972739016 , Law  Dome  (Rubino  et  al.,  2013) 
 12.233306950000042 , 312.3293254879136 , Law  Dome  (Rubino  et  al.,  2013) 
 13.136785700000019 , 307.4076931745866 , Law  Dome  (Rubino  et  al.,  2013) 
 14.12664190999999 , 309.3446868650601 , Law  Dome  (Rubino  et  al.,  2013) 
 14.290543329999991 , 307.25859856593024 , Law  Dome  (Rubino  et  al.,  2013) 
 14.94369888999995 , 306.3197983876916 , Law  Dome  (Rubino  et  al.,  2013) 
 16.123575399999936 , 309.6306260790445 , Law  Dome  (Rubino  et  al.,  2013) 
 16.40695077999999 , 307.0755443187391 , Law  Dome  (Rubino  et  al.,  2013) 
 17.219075570000086 , 305.94402817135216 , Law  Dome  (Rubino  et  al.,  2013) 
 17.462700710000036 , 308.27919921307927 , Law  Dome  (Rubino  et  al.,  2013) 
 17.70639580000011 , 308.25556223436706 , Law  Dome  (Rubino  et  al.,  2013) 
 19.17030616000011 , 305.7409186942765 , Law  Dome  (Rubino  et  al.,  2013) 
 20.613674270000047 , 305.3808267142061 , Law  Dome  (Rubino  et  al.,  2013) 
 21.256399999999985 , 305.78294147245686 , Law  Dome  (Rubino  et  al.,  2013) 
 21.46069323000006 , 305.70537216677735 , Law  Dome  (Rubino  et  al.,  2013) 
 21.843200000000024 , 305.66786848134046 , Law  Dome  (Rubino  et  al.,  2013) 
 22.203540369999928 , 308.01874186181465 , Law  Dome  (Rubino  et  al.,  2013) 
 24.686957090000078 , 304.96915678718324 , Law  Dome  (Rubino  et  al.,  2013) 
 25.251618980000103 , 304.7159146968185 , Law  Dome  (Rubino  et  al.,  2013) 
 27.163116590000072 , 306.19862429992156 , Law  Dome  (Rubino  et  al.,  2013) 
 27.494957789999944 , 303.1815383191544 , Law  Dome  (Rubino  et  al.,  2013) 
 30.2922188 , 301.8758603769565 , Law  Dome  (Rubino  et  al.,  2013) 
 31.331601200000023 , 304.61320734820134 , Law  Dome  (Rubino  et  al.,  2013) 
 32.12541188 , 303.85222132002366 , Law  Dome  (Rubino  et  al.,  2013) 
 34.213969129999896 , 301.9151507114715 , Law  Dome  (Rubino  et  al.,  2013) 
 35.60700403999999 , 300.7000886560916 , Law  Dome  (Rubino  et  al.,  2013) 
 37.484859689999894 , 301.29772622272134 , Law  Dome  (Rubino  et  al.,  2013) 
 38.71498595999992 , 299.25727749401767 , Law  Dome  (Rubino  et  al.,  2013) 
 38.90461155999992 , 297.7268153632511 , Law  Dome  (Rubino  et  al.,  2013) 
 39.284149150000076 , 298.10624698316605 , Law  Dome  (Rubino  et  al.,  2013) 
 40.23523068999998 , 297.86910679162327 , Law  Dome  (Rubino  et  al.,  2013) 
 41.47609211000008 , 301.50413540464433 , Law  Dome  (Rubino  et  al.,  2013) 
 44.225799999999936 , 299.62686294971274 , Law  Dome  (Rubino  et  al.,  2013) 
 44.45643668999992 , 297.32821856127947 , Law  Dome  (Rubino  et  al.,  2013) 
 44.64919585999996 , 299.0235966178361 , Law  Dome  (Rubino  et  al.,  2013) 
 46.09347466000008 , 295.9913578166476 , Law  Dome  (Rubino  et  al.,  2013) 
 48.298125289999916 , 295.6106368299745 , Law  Dome  (Rubino  et  al.,  2013) 
 49.82164923999994 , 294.22072160003313 , Law  Dome  (Rubino  et  al.,  2013) 
 51.057595010000114 , 297.0473645165553 , Law  Dome  (Rubino  et  al.,  2013) 
 51.34283968999989 , 295.2814574829282 , Law  Dome  (Rubino  et  al.,  2013) 
 56.24367503999997 , 293.80883068272027 , Law  Dome  (Rubino  et  al.,  2013) 
 56.34117893999996 , 293.16654166689625 , Law  Dome  (Rubino  et  al.,  2013) 
 56.9396999999999 , 295.3164626735822 , Law  Dome  (Rubino  et  al.,  2013) 
 57.12160448999998 , 294.8594308441452 , Law  Dome  (Rubino  et  al.,  2013) 
 57.6094814600001 , 295.17192926023625 , Law  Dome  (Rubino  et  al.,  2013) 
 60.1310578099999 , 290.9175394046256 , Law  Dome  (Rubino  et  al.,  2013) 
 60.992519469999934 , 292.3423879392772 , Law  Dome  (Rubino  et  al.,  2013) 
 62.60553327000002 , 294.34178746728605 , Law  Dome  (Rubino  et  al.,  2013) 
 64.39987096999994 , 288.1157636999787 , Law  Dome  (Rubino  et  al.,  2013) 
 65.82009999999991 , 289.2265988139854 , Law  Dome  (Rubino  et  al.,  2013) 
 66.20852756999989 , 289.7624132149648 , Law  Dome  (Rubino  et  al.,  2013) 
 67.07764627999995 , 292.46393479402104 , Law  Dome  (Rubino  et  al.,  2013) 
