 Gasage  (yr  BP)   , CO2  (ppmv) , Location 
 8194.798787878788 , 259.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8351.876727272727 , 258.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8459.675757575757 , 261.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8546.579090909092 , 260.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8710.678181818183 , 261.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8781.282363636365 , 259.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8911.853878787877 , 260.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 8992.985757575756 , 260.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9060.173939393939 , 259.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9143.01284848485 , 262.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9295.308848484849 , 263.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9361.11696969697 , 263.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9436.703454545453 , 265.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9518.05903030303 , 260.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9524.439454545454 , 260.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9555.86393939394 , 263.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9573.266606060606 , 263.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9901.037878787878 , 264.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 9992.609575757577 , 264.2 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10134.50303030303 , 264.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10192.954545454544 , 263.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10299.554545454546 , 265.7 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10366.55575757576 , 264.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10505.551515151516 , 267.5 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10680.480000000003 , 266.9 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10801.809090909092 , 266.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10835.743636363635 , 265.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 10954.478787878788 , 267.6 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11089.615757575755 , 264.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11161.063636363637 , 264.8 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11185.87090909091 , 265.0 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11200.576363636363 , 265.3 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11256.567878787879 , 264.4 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11316.978787878788 , 264.1 , Dome  C  (Monnin  et  al.,  2001  +  2004) 
 11339.371 , 264.8062514925239 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11383.156 , 264.8396344162771 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11399.861 , 268.1638827775123 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11417.453 , 264.4831386910426 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11435.931 , 270.14345909208504 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11453.064 , 268.86948241809176 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11472.799 , 269.09658248435426 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11490.446 , 267.1659882944808 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11507.225 , 267.66344435702626 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11523.934 , 269.5087267559184 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11543.596 , 266.8975316078414 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11559.612 , 262.7402713424808 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11576.406 , 267.0926460402798 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11592.243 , 260.7019637596007 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11611.307 , 261.3035570908851 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11628.966 , 266.2202091929294 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11647.924 , 257.13429330946656 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11664.542 , 247.5528586529488 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11682.818 , 254.6155973344712 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11701.438 , 253.99089690085395 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11719.717 , 256.0430608603061 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11740.65 , 255.89086904448925 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11759.212 , 258.7419682040664 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11780.723 , 258.24947010276907 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11802.789 , 258.53058047537485 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11820.5 , 257.16871076552565 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11843.327 , 254.31017470730887 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11863.118 , 253.6295799831633 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11883.166 , 251.56174454316204 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11904.912 , 255.89657531323917 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11926.956 , 258.57498699245264 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11948.086 , 248.91570205793047 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11969.551 , 253.9931437879996 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 11990.691 , 255.3912977602452 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12015.895 , 247.85064164274337 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12037.316 , 248.40713321971356 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12058.796 , 253.09803694796494 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12079.849 , 251.03138662276533 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12105.248 , 255.6570401748525 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12124.583 , 253.01913649818056 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12146.495 , 251.13879991205624 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12168.481 , 251.42428040746907 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12190.414 , 250.96816256782247 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12211.34 , 249.6533400802813 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12232.921 , 249.23182055441774 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12256.477 , 248.95174624217293 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12280.774 , 249.37721064234103 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12301.036 , 248.9240190698803 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12321.276 , 250.73154369365116 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12343.121 , 246.9665079337188 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12365.281 , 244.30941964788178 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12388.308 , 243.00399847303908 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12409.378 , 246.4034368607132 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12431.925 , 247.67023851530323 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12454.817 , 245.828192028346 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12475.39 , 246.17917534767042 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12495.838 , 244.42282246806465 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12521.35 , 246.7361603977909 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12543.717 , 249.9226267174943 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12564.615 , 244.27496932125192 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12586.604 , 247.01866418752644 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12607.644 , 248.09151906637942 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12629.853 , 246.94327763185444 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12653.637 , 243.94829999483662 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12673.897 , 242.52904430354567 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12697.141 , 244.24252191664183 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12719.8 , 241.5919394471499 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12739.914 , 247.29878007926465 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12762.577 , 240.01944039217156 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12785.627 , 241.49602014897292 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12809.27 , 242.23335017876875 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12830.152 , 242.14661205332536 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12852.706 , 239.34501708789696 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12873.977 , 241.2383063619222 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12893.384 , 239.43542944264073 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12917.105 , 238.7942418996904 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12939.228 , 238.17670710529902 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12959.751 , 240.7072616624785 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 12980.883 , 237.14801820813656 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13001.057 , 239.41877622767902 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13021.916 , 234.67711437690164 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13043.693 , 238.86480110696388 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13066.591 , 237.90902544878452 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13088.223 , 241.5552999030114 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13128.448 , 234.8172845805215 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13172.67 , 236.91006470650157 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13216.195 , 239.4098936541896 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13266.965 , 240.4197733780046 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13304.149 , 236.86022090165332 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13418.103 , 237.82629259075324 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13486.737 , 240.25427358439862 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13531.749 , 235.8255291423037 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13600.809 , 243.85979844716996 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13645.346 , 238.54747522687632 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13712.826 , 241.59139134507328 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13758.73 , 241.11490412197253 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13827.204 , 239.08435072354874 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13871.566 , 237.95158516671214 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 13940.228 , 240.5703386445421 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14001.788 , 235.91958262522573 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14022.859 , 237.8687866200197 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14060.093 , 241.26916500368534 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14084.472 , 232.88000615516702 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14120.057 , 236.39805979670948 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14156.604 , 239.23818680138615 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14179.551 , 239.36064776017062 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14205.559 , 238.3613364190683 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14237.445 , 236.59503531115416 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14273.024 , 240.21229536304708 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14298.717 , 239.03677680876376 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14308.608 , 235.8013722168602 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14343.156 , 242.07891889663432 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14354.483 , 238.39005888170098 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14374.989 , 240.3252352260465 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14410.597 , 242.5463915992586 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14422.234 , 242.60460298931037 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14443.283 , 240.9489026098227 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14463.583 , 238.61345734214723 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14497.209 , 242.05538663336657 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14520.852 , 241.14411641924522 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14531.297 , 243.17377294839466 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14541.662 , 235.8323421305916 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14552.933 , 241.729807649943 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14563.518 , 239.85999766133673 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14575.933 , 239.76503812675872 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14586.185 , 237.9659544143376 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14595.468 , 235.30951417343593 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14606.209 , 237.58632963935628 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14619.389 , 237.97072384125397 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14629.987 , 240.10202126482596 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14645.202 , 238.11592408247537 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14652.256 , 234.62208303328032 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14664.087 , 233.41678590018034 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14675.119 , 234.33541847308942 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14686.374 , 237.49243901935716 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14696.689 , 228.9069484734525 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14706.958 , 228.1794674192821 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14718.124 , 230.5296191365043 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14730.883 , 234.53668908061695 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14743.189 , 231.47501430697426 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14758.515 , 227.9025821178081 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14763.412 , 224.64412988292017 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14776.283 , 227.39272967198517 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14787.831 , 227.78536212593403 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14799.135 , 228.50250206425628 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14810.614 , 227.5760816830967 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14822.391 , 226.50690563613685 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14834.75 , 228.4041873231957 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14844.772 , 227.87363187172843 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14857.525 , 233.1674385645637 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14869.177 , 232.22123314488178 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14880.662 , 227.85150672131329 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14892.457 , 230.6301423785333 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14904.212 , 228.71528957073212 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14915.908 , 228.35879507223092 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14929.02 , 228.46979297537328 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14953.662 , 228.890295544307 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14976.478 , 229.78672581367329 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 14987.256 , 227.65098593922204 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15011.48 , 228.3650655244248 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15034.777 , 225.38083520649624 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15072.534 , 228.99480745157686 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15095.81 , 234.47446894840783 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15133.528 , 229.67160656998294 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15156.516 , 228.8057322422929 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15181.113 , 227.84358475209112 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15218.875 , 230.18339813242306 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15243.443 , 228.26585961041698 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15280.741 , 225.77162913978188 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15320.944 , 227.64306095288393 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15345.237 , 228.91652002838566 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15382.846 , 225.38795165189697 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15410.078 , 224.74311624898786 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15462.934 , 223.2710402890986 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15546.395 , 223.5305343345643 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15649.43 , 222.75834505097234 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15704.787 , 222.15764340429956 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15767.681 , 224.8571801594681 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15844.953 , 222.36468715588023 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15920.254 , 223.5107392974745 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15936.522 , 223.7681909549173 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15995.492 , 223.7224506956352 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 15998.978 , 224.4079901815647 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16014.67 , 222.39327867419098 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16033.783 , 224.4802221411913 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16083.0 , 224.242360124708 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16114.135 , 222.4115117516632 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16151.209 , 224.8625784974834 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16166.707 , 226.1908800011438 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16187.461 , 221.48984625503218 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16208.708 , 227.3244742360862 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16222.957 , 223.23631531576837 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16240.564 , 220.48517092637948 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16260.727 , 218.56382460975144 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16278.743 , 214.22122886828478 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16296.958 , 212.84367513227136 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16317.429 , 214.5978424508933 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16337.251 , 212.42970768970437 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16354.228 , 214.83094793202406 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16374.888 , 211.2133503062316 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16391.886 , 209.50810411665645 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16410.706 , 212.94888538922996 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16431.323 , 211.7934498012063 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16458.381 , 217.18722610003746 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16472.034 , 213.9380167825644 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16509.932 , 207.94707338537606 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16553.509 , 208.65010901966778 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16590.012 , 208.4614276166706 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16655.879 , 213.15469236971649 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16733.528 , 210.24939480334604 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16797.545 , 205.52548876941438 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16869.315 , 205.18509194320177 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16928.831 , 202.9290476816134 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 16994.774 , 204.3247383426767 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17091.847 , 202.1012164231453 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17163.698 , 198.631089252931 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17236.245 , 198.29417538469403 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17287.896 , 195.87573909141443 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17311.873 , 194.65141317549399 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17360.496 , 190.50284337603904 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17385.299 , 193.02021337722056 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17410.026 , 191.8856673685563 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17434.971 , 190.75739808941378 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17460.991 , 193.00049226913703 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17485.291 , 191.4761142959414 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
 17510.868 , 191.58573439908614 , WAIS  (Marcott  et  al.,  2014)  minus  4  ppmv  (see  text) 
